Node_id,title,member_of,part_of,model,Language
210,"Mr K's","Menus Collection",,"Paged Content","English, Chinese"
213,"Buccaneer Inn, The","Menus Collection",,"Paged Content",English
216,"King Garden","Menus Collection",,"Paged Content",English
219,"Huberts Restaurant","Menus Collection",,"Paged Content",English
222,"Richard Yee's Restaurant","Menus Collection",,"Paged Content",English
224,Pa'Oun,"Menus Collection",,"Paged Content","English, Thai"
227,"Mei Luck","Menus Collection",,"Paged Content",English
229,Chance,"Menus Collection",,"Paged Content",English
232,"Golden Woks","Menus Collection",,"Paged Content",English
235,"Friendly Kitchen","Menus Collection",,"Paged Content",English
238,"Shanghai Garden","Menus Collection",,"Paged Content","English, Chinese"
241,"Moon Palace Restaurant","Menus Collection",,"Paged Content","English, Chinese"
243,"New China","Menus Collection",,"Paged Content","English, Chinese"
246,Tomashi,"Menus Collection",,"Paged Content","English, Chinese"
249,"House of Woks","Menus Collection",,"Paged Content","English, Chinese"
252,To-Fu,"Menus Collection",,"Paged Content",English
254,"Panda Pavilion","Menus Collection",,"Paged Content","English, Chinese"
257,"Oriental Garden Restaurant","Menus Collection",,"Paged Content","English, Chinese"
260,"China Royal","Menus Collection",,"Paged Content","English, Chinese"
263,"Pusan Marriot Hotel","Menus Collection",,"Paged Content",English
266,"All In One","Menus Collection",,"Paged Content",English
269,"Grand Avenue","Menus Collection",,"Paged Content",English
272,"Sung Tieng","Menus Collection",,"Paged Content","English, Chinese"
275,"Magic Gourd Restaurant","Menus Collection",,"Paged Content",English
278,"Oriental Noodle Shop","Menus Collection",,"Paged Content","English, Chinese"
281,"No. 1 Little House","Menus Collection",,"Paged Content",English
284,"Chinatown Seafood","Menus Collection",,"Paged Content","English, Chinese"
287,"45 Tea Room","Menus Collection",,"Paged Content","English, Chinese"
290,"Chang Shing Kitchen","Menus Collection",,"Paged Content",English
292,"Szechuan Restaurant","Menus Collection",,"Paged Content","English, Chinese"
295,"Sing's Kitchen","Menus Collection",,"Paged Content",English
298,"Yung Sun","Menus Collection",,"Paged Content","English, Chinese"
301,"Spring Joy Village","Menus Collection",,"Paged Content","English, Chinese"
304,"Sea Palace","Menus Collection",,"Paged Content","English, Chinese"
306,"Bamboo 52","Menus Collection",,"Paged Content",English
308,Rain,"Menus Collection",,"Paged Content",English
311,"North Dumpling House","Menus Collection",,"Paged Content","English, Chinese"
314,"Chiu Chow Restaurant","Menus Collection",,"Paged Content","English, Chinese"
317,"Joy Young","Menus Collection",,"Paged Content",English
321,"Wing Lee Chinese Restaurant","Menus Collection",,"Paged Content",English
323,"King's Pavilion","Menus Collection",,"Paged Content","English, Chinese"
326,"Sun Lee Woo","Menus Collection",,"Paged Content",English
328,Canton,"Menus Collection",,"Paged Content","English, Chinese"
331,Nanking,"Menus Collection",,"Paged Content",English
334,"First Cook","Menus Collection",,"Paged Content",English
337,"Miami Grill","Menus Collection",,"Paged Content",English
340,"Famous Amadeus Pizza","Menus Collection",,"Paged Content",English
343,Rangoon,"Menus Collection",,"Paged Content","English, Chinese"
346,"A & H Food Plaza","Menus Collection",,"Paged Content",English
348,Shallot,"Menus Collection",,"Paged Content","English, Thai"
351,"Touch of East, A","Menus Collection",,"Paged Content",English
354,Patsy's,"Menus Collection",,"Paged Content",English
356,"Don Pollo","Menus Collection",,"Paged Content","English, Spanish"
359,"Ruby's Eatery","Menus Collection",,"Paged Content","English, Chinese"
365,"Lil' Frankie's","Menus Collection",,"Paged Content",English
368,"[Restaurant name in Chinese]","Menus Collection",,"Paged Content","English, Chinese"
370,"Shun Hing","Menus Collection",,"Paged Content","English, Chinese"
373,"Golden Bird","Menus Collection",,"Paged Content",English
376,"Palacio Danubio Azul","Menus Collection",,"Paged Content",Spanish
411,"Yee Eng","Menus Collection",,"Paged Content","English, Chinese"
413,"Wok Plus","Menus Collection",,"Paged Content",English
416,[Undetermined],"Menus Collection",,"Paged Content","English, Chinese"
419,"Toyya's Place","Menus Collection",,"Paged Content","English, Chinese"
422,"Vineyard's Lobster House","Menus Collection",,"Paged Content",English
425,"Teng Dragon","Menus Collection",,"Paged Content",English
428,"Happy Buddha","Menus Collection",,"Paged Content","English, Chinese"
431,"Ogawa Café","Menus Collection",,"Paged Content",English
434,"U Like","Menus Collection",,"Paged Content","English, Chinese"
437,"Fusion Crepe","Menus Collection",,"Paged Content",English
440,"Fundamental Gains Vegetarian Food Product Catalogue","Menus Collection",,"Paged Content","English, Chinese"
446,"Dynasty Restaurant, The","Menus Collection",,"Paged Content",English
452,Sawadee,"Menus Collection",,"Paged Content","English, Thai"
455,"Old Sichuan","Menus Collection",,"Paged Content","English, Chinese"
458,"New Shanghai","Menus Collection",,"Paged Content",English
461,"Gourmet Palace","Menus Collection",,"Paged Content","English, Chinese"
464,"[Restaurant name in Chinese]","Menus Collection",,"Paged Content","English, Chinese"
467,"Plump Dumpling","Menus Collection",,"Paged Content","English, Chinese, Vietnamese"
470,"China Pavilion","Menus Collection",,"Paged Content","English, Chinese"
473,"Jazzi Wok","Menus Collection",,"Paged Content","English, Chinese"
476,Tamal,"Menus Collection",,"Paged Content",English
479,"Spring Garden","Menus Collection",,"Paged Content","English, Chinese"
482,"one plus one cafe inc","Menus Collection",,"Paged Content","English, Chinese"
485,"Singapore Traditional Chinese Cuisine","Menus Collection",,"Paged Content",English
489,"Jackie's Café","Menus Collection",,"Paged Content",English
492,"First Wok II","Menus Collection",,"Paged Content","English, Chinese"
495,"Ko Shing Rice Shoppe","Menus Collection",,"Paged Content","English, Chinese"
498,"#1 Chinese Cuisine","Menus Collection",,"Paged Content","English, Chinese"
501,Doyers,"Menus Collection",,"Paged Content","English, Chinese"
504,Tam-Tam,"Menus Collection",,"Paged Content",English
507,"Grand Oriental Restaurant","Menus Collection",,"Paged Content","English, Spanish"
510,"Wing Yuan Kitchen","Menus Collection",,"Paged Content",English
512,Wang's,"Menus Collection",,"Paged Content",English
515,"Six Happiness","Menus Collection",,"Paged Content","English, Chinese"
518,"Maple Garden","Menus Collection",,"Paged Content","English, Chinese"
523,"China Wheel","Menus Collection",,"Paged Content",English
526,Aventino,"Menus Collection",,"Paged Content",Spanish
530,"New Li Yuan","Menus Collection",,"Paged Content","English, Chinese"
533,"HSF Restaurant","Menus Collection",,"Paged Content","English, Chinese"
535,"Yogee Noodle","Menus Collection",,"Paged Content","English, Chinese"
537,"Cowan & Lobel","Menus Collection",,"Paged Content",English
540,"Sala Thai Restaurant","Menus Collection",,"Paged Content",English
543,"Crystal Wok","Menus Collection",,"Paged Content","English, Chinese"
546,"Chiu's Garden","Menus Collection",,"Paged Content","English, Chinese"
549,Shanghai,"Menus Collection",,"Paged Content",English
552,"Nussbaum & Wu","Menus Collection",,"Paged Content",English
555,"Broadway ""Joe's"" Pizza","Menus Collection",,"Paged Content",English
558,"Sedap Taste Good","Menus Collection",,"Paged Content","English, Chinese"
561,"[Restaurant name in Chinese]","Menus Collection",,"Paged Content",Chinese
564,"Szechuan Omei Too","Menus Collection",,"Paged Content","English, Chinese"
566,"Lucky Palace Restaurant","Menus Collection",,"Paged Content","English, Chinese"
568,"Great Wall","Menus Collection",,"Paged Content",English
571,"Chow Time","Menus Collection",,"Paged Content",English
574,"Think Liquid","Menus Collection",,"Paged Content",English
577,"Top One Gourmet","Menus Collection",,"Paged Content","English, Chinese"
580,"Excellent Pork Chop House","Menus Collection",,"Paged Content","English, Chinese"
583,"China Queen","Menus Collection",,"Paged Content",English
585,"Kam Fong Restaurant","Menus Collection",,"Paged Content","English, Chinese"
588,"Mandarine Express, The","Menus Collection",,"Paged Content",English
591,"Empire Szechuan House","Menus Collection",,"Paged Content","English, Chinese"
594,"Sushi Sushi","Menus Collection",,"Paged Content",English
597,"Rising Dragon","Menus Collection",,"Paged Content","English, Chinese"
600,"Gourmet Noodle & Delicacies","Menus Collection",,"Paged Content","English, Chinese"
603,"Tad Bowl","Menus Collection",,"Paged Content","English, Chinese"
605,"Hsin Yu","Menus Collection",,"Paged Content","English, Chinese"
608,"Red Pepper","Menus Collection",,"Paged Content","English, Chinese"
611,"Hunan Park","Menus Collection",,"Paged Content","English, Chinese"
614,"Chinese Village & Oriental Gourmet Restaurant","Menus Collection",,"Paged Content","English, Chinese"
617,"Chinese Express Restaurant","Menus Collection",,"Paged Content",English
619,Sunrise,"Menus Collection",,"Paged Content",English
622,"Taste R Us","Menus Collection",,"Paged Content","English, Chinese"
625,"Hong Kong","Menus Collection",,"Paged Content","English, Spanish"
628,"Szechuan Gourmet","Menus Collection",,"Paged Content","English, Chinese"
631,"18 Arhans","Menus Collection",,"Paged Content",English
634,"[Unidentified menu]","Menus Collection",,"Paged Content",Chinese
